REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSHNDXX01,2030,52694.444444444445
GLOBAL,LDSHNDXX01,2031,52694.444444444445
GLOBAL,LDSHNDXX01,2032,52694.444444444445
GLOBAL,LDSHNDXX01,2033,52694.444444444445
GLOBAL,LDSHNDXX01,2034,52694.444444444445
GLOBAL,LDSHNDXX01,2035,52694.444444444445
GLOBAL,LDSHNDXX01,2036,52694.444444444445
GLOBAL,LDSHNDXX01,2037,52694.444444444445
GLOBAL,LDSHNDXX01,2038,52694.444444444445
GLOBAL,LDSHNDXX01,2039,52694.444444444445
GLOBAL,LDSHNDXX01,2040,52694.444444444445
GLOBAL,LDSHNDXX01,2041,52694.444444444445
GLOBAL,LDSHNDXX01,2042,52694.444444444445
GLOBAL,LDSHNDXX01,2043,52694.444444444445
GLOBAL,LDSHNDXX01,2044,52694.444444444445
GLOBAL,LDSHNDXX01,2045,52694.444444444445
GLOBAL,LDSHNDXX01,2046,52694.444444444445
GLOBAL,LDSHNDXX01,2047,52694.444444444445
GLOBAL,LDSHNDXX01,2048,52694.444444444445
GLOBAL,LDSHNDXX01,2049,52694.444444444445
GLOBAL,LDSHNDXX01,2050,52694.444444444445
GLOBAL,LDSHTIXX01,2023,52694.444444444445
GLOBAL,LDSHTIXX01,2024,52694.444444444445
GLOBAL,LDSHTIXX01,2025,52694.444444444445
GLOBAL,LDSHTIXX01,2026,52694.444444444445
GLOBAL,LDSHTIXX01,2027,52694.444444444445
GLOBAL,LDSHTIXX01,2028,52694.444444444445
GLOBAL,LDSHTIXX01,2029,52694.444444444445
GLOBAL,LDSHTIXX01,2030,52694.444444444445
GLOBAL,LDSHTIXX01,2031,52694.444444444445
GLOBAL,LDSHTIXX01,2032,52694.444444444445
GLOBAL,LDSHTIXX01,2033,52694.444444444445
GLOBAL,LDSHTIXX01,2034,52694.444444444445
GLOBAL,LDSHTIXX01,2035,52694.444444444445
GLOBAL,LDSHTIXX01,2036,52694.444444444445
GLOBAL,LDSHTIXX01,2037,52694.444444444445
GLOBAL,LDSHTIXX01,2038,52694.444444444445
GLOBAL,LDSHTIXX01,2039,52694.444444444445
GLOBAL,LDSHTIXX01,2040,52694.444444444445
GLOBAL,LDSHTIXX01,2041,52694.444444444445
GLOBAL,LDSHTIXX01,2042,52694.444444444445
GLOBAL,LDSHTIXX01,2043,52694.444444444445
GLOBAL,LDSHTIXX01,2044,52694.444444444445
GLOBAL,LDSHTIXX01,2045,52694.444444444445
GLOBAL,LDSHTIXX01,2046,52694.444444444445
GLOBAL,LDSHTIXX01,2047,52694.444444444445
GLOBAL,LDSHTIXX01,2048,52694.444444444445
GLOBAL,LDSHTIXX01,2049,52694.444444444445
GLOBAL,LDSHTIXX01,2050,52694.444444444445
GLOBAL,LDSMEXXX01,2023,52694.444444444445
GLOBAL,LDSMEXXX01,2024,52694.444444444445
GLOBAL,LDSMEXXX01,2025,52694.444444444445
GLOBAL,LDSMEXXX01,2026,52694.444444444445
GLOBAL,LDSMEXXX01,2027,52694.444444444445
GLOBAL,LDSMEXXX01,2028,52694.444444444445
GLOBAL,LDSMEXXX01,2029,52694.444444444445
GLOBAL,LDSMEXXX01,2030,52694.444444444445
GLOBAL,LDSMEXXX01,2031,52694.444444444445
GLOBAL,LDSMEXXX01,2032,52694.444444444445
GLOBAL,LDSMEXXX01,2033,52694.444444444445
GLOBAL,LDSMEXXX01,2034,52694.444444444445
GLOBAL,LDSMEXXX01,2035,52694.444444444445
GLOBAL,LDSMEXXX01,2036,52694.444444444445
GLOBAL,LDSMEXXX01,2037,52694.444444444445
GLOBAL,LDSMEXXX01,2038,52694.444444444445
GLOBAL,LDSMEXXX01,2039,52694.444444444445
GLOBAL,LDSMEXXX01,2040,52694.444444444445
GLOBAL,LDSMEXXX01,2041,52694.444444444445
GLOBAL,LDSMEXXX01,2042,52694.444444444445
GLOBAL,LDSMEXXX01,2043,52694.444444444445
GLOBAL,LDSMEXXX01,2044,52694.444444444445
GLOBAL,LDSMEXXX01,2045,52694.444444444445
GLOBAL,LDSMEXXX01,2046,52694.444444444445
GLOBAL,LDSMEXXX01,2047,52694.444444444445
GLOBAL,LDSMEXXX01,2048,52694.444444444445
GLOBAL,LDSMEXXX01,2049,52694.444444444445
GLOBAL,LDSMEXXX01,2050,52694.444444444445
GLOBAL,LDSNICXX01,2023,52694.444444444445
GLOBAL,LDSNICXX01,2024,52694.444444444445
GLOBAL,LDSNICXX01,2025,52694.444444444445
GLOBAL,LDSNICXX01,2026,52694.444444444445
GLOBAL,LDSNICXX01,2027,52694.444444444445
GLOBAL,LDSNICXX01,2028,52694.444444444445
GLOBAL,LDSNICXX01,2029,52694.444444444445
GLOBAL,LDSNICXX01,2030,52694.444444444445
GLOBAL,LDSNICXX01,2031,52694.444444444445
GLOBAL,LDSNICXX01,2032,52694.444444444445
GLOBAL,LDSNICXX01,2033,52694.444444444445
GLOBAL,LDSNICXX01,2034,52694.444444444445
GLOBAL,LDSNICXX01,2035,52694.444444444445
GLOBAL,LDSNICXX01,2036,52694.444444444445
GLOBAL,LDSNICXX01,2037,52694.444444444445
GLOBAL,LDSNICXX01,2038,52694.444444444445
GLOBAL,LDSNICXX01,2039,52694.444444444445
GLOBAL,LDSNICXX01,2040,52694.444444444445
GLOBAL,LDSNICXX01,2041,52694.444444444445
GLOBAL,LDSNICXX01,2042,52694.444444444445
GLOBAL,LDSNICXX01,2043,52694.444444444445
GLOBAL,LDSNICXX01,2044,52694.444444444445
GLOBAL,LDSNICXX01,2045,52694.444444444445
