Model;Scenario1;Technology Tipo (grupos);Technology Tipo de Fuente;Años;Capital Investment;Fixed Cost;Total Capacity Annual;Variable Cost
SieLAC;NDC+ELC;Interconexiones;No generacion;2036;8753.08301676714;193.30998298154194;91.63096937600909;2658.8775336828835
SieLAC;NDC+ELC;Interconexiones;No generacion;2037;10049.524254601654;228.4830918510037;106.82728298622216;3193.3471838523615
SieLAC;NDC+ELC;Interconexiones;No generacion;2038;8695.92218453918;258.91859155175626;120.04753412492292;3651.4680145413126
SieLAC;NDC+ELC;Interconexiones;No generacion;2039;8238.357762550468;287.7526066962467;132.72816164515203;4088.1266268491013
SieLAC;NDC+ELC;Interconexiones;No generacion;2040;8412.664890805445;320.2854655415768;146.50498504930948;4550.520436732891
SieLAC;NDC+ELC;Interconexiones;No generacion;2041;11883.693043427538;361.8781282335631;164.59196159444028;5178.481046469616
SieLAC;NDC+ELC;Interconexiones;No generacion;2042;13109.180490519992;407.7599784356502;184.52804215089438;5881.543976662393
SieLAC;NDC+ELC;Interconexiones;No generacion;2043;12641.654736324737;452.0054949800372;203.51842853552134;6540.859164126782
SieLAC;NDC+ELC;Interconexiones;No generacion;2044;14064.024720179616;501.2292571022897;224.87324749707452;7272.92464430948
SieLAC;NDC+ELC;Interconexiones;No generacion;2045;15198.134801407476;554.4223812153011;247.99680408664506;8054.544910810578
SieLAC;NDC+ELC;Interconexiones;No generacion;2046;16415.244054691128;611.8753675257274;273.01802315783266;8916.010079949012
SieLAC;NDC+ELC;Interconexiones;No generacion;2047;16662.43920736565;670.1935311280483;298.4325129647947;9783.436244490944
SieLAC;NDC+ELC;Interconexiones;No generacion;2048;17842.20934877559;732.6408771036928;325.6777611638121;10703.880396277957
SieLAC;NDC+ELC;Interconexiones;No generacion;2049;19307.43042790438;800.2164555200583;355.0920908755947;11706.784032990165
SieLAC;NDC+ELC;Interconexiones;No generacion;2050;20140.59217222589;870.708072104572;385.8279734407417;12744.185445127112
SieLAC;NDC+ELC;Transmisión;No generacion;2023;7.0899085970572;389.43075291528936;193.34316233193226;
SieLAC;NDC+ELC;Transmisión;No generacion;2024;4.0227424029428205;389.46427546999996;193.37900000000008;
SieLAC;NDC+ELC;Transmisión;No generacion;2025;245.90840862;391.61261275999993;200.42720000000008;
SieLAC;NDC+ELC;Transmisión;No generacion;2026;386.41069994000003;394.9747446300001;208.48080000000002;
