# Upstream-format rows (REGION,TECHNOLOGY,YEAR,VALUE per otoole convention).
# NOT wired into t1_confection/OG_csvs_inputs -- for later manual promotion only.
scenario,REGION,TECHNOLOGY,YEAR,VALUE,change
OPT,GLOBAL,PWROILHNDXX,2041,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2042,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2043,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2044,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2045,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2046,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2047,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2048,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2049,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2050,1.2614,new
OPT,GLOBAL,PWROILSLVXX,2030,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2031,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2032,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2033,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2034,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2035,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2036,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2037,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2038,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2039,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2040,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2041,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2042,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2043,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2044,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2045,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2046,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2047,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2048,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2049,0.9461,new
OPT,GLOBAL,PWROILSLVXX,2050,0.9461,new
OPT,GLOBAL,PWRPETBRBXX,2040,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2041,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2042,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2043,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2044,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2045,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2046,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2047,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2048,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2049,0.8136,new
OPT,GLOBAL,PWRPETBRBXX,2050,0.8136,new
OPT,GLOBAL,PWRPETECUXX,2027,2.7972,new
OPT,GLOBAL,PWRPETECUXX,2028,4.6894,new
OPT,GLOBAL,PWRPETECUXX,2029,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2030,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2031,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2032,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2033,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2034,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2035,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2036,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2037,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2038,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2039,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2040,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2041,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2042,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2043,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2044,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2045,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2046,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2047,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2048,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2049,5.3201,new
OPT,GLOBAL,PWRPETECUXX,2050,5.3201,new
